,titles,companies,locations,reviews,noofreviews,descriptions,salaries
3474,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3475,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3476,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3477,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3478,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3479,Lead ML Engineer,Affine,India,None,None,None,None
3480,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3481,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3482,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3483,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3484,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3485,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3486,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3487,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3488,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3489,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3490,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3491,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3492,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3493,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3494,Lead ML Engineer,Affine,India,None,None,None,None
3495,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3496,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3497,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3498,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3499,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3500,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3501,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3502,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3503,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3504,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3505,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3506,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3507,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3508,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3509,Lead ML Engineer,Affine,India,None,None,None,None
3510,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3511,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3512,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3513,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3514,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3515,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3516,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3517,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3518,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3519,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3520,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3521,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3522,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3523,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3524,Lead ML Engineer,Affine,India,None,None,None,None
3525,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3526,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3527,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3528,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3529,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3530,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3531,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3532,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3533,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3534,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3535,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3536,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3537,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3538,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3539,Lead ML Engineer,Affine,India,None,None,None,None
3540,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3541,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3542,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3543,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3544,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3545,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3546,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3547,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3548,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3549,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3550,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3551,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3552,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3553,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3554,Lead ML Engineer,Affine,India,None,None,None,None
3555,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3556,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3557,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3558,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3559,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3560,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3561,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3562,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3563,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3564,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3565,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3566,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3567,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3568,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3569,Lead ML Engineer,Affine,India,None,None,None,None
3570,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3571,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3572,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3573,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3574,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3575,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3576,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3577,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3578,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3579,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3580,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3581,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3582,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3583,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3584,Lead ML Engineer,Affine,India,None,None,None,None
3585,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3586,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3587,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3588,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3589,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3590,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3591,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3592,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3593,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3594,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3595,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3596,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3597,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3598,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3599,Lead ML Engineer,Affine,India,None,None,None,None
3600,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3601,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3602,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3603,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3604,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3605,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3606,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3607,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3608,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3609,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3610,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3611,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3612,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3613,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3614,Lead ML Engineer,Affine,India,None,None,None,None
3615,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3616,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3617,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3618,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3619,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3620,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3621,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3622,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3623,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3624,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3625,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3626,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3627,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3628,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3629,Lead ML Engineer,Affine,India,None,None,None,None
3630,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3631,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3632,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3633,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3634,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3635,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3636,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3637,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3638,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3639,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3640,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3641,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3642,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3643,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3644,Lead ML Engineer,Affine,India,None,None,None,None
3645,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
